digits,n_prefix,p_min,p_min_digits,attempts,sieve_elim_pct,time_ms
100,69652747216985894307,7,1,4,0.0,0.169
100,90167630309256361012,3929,4,52,99.2,1.608
100,15890127852327256789,607,3,59,99.1,1.713
100,70169876903478907094,19,2,8,0.0,0.264
100,27492905016167476949,229,3,51,98.0,1.450
100,94985072581058529658,397,3,53,97.8,5.652
100,97038323854187410309,313,3,62,98.2,1.754
100,76523638181098783850,23,2,9,0.0,0.196
100,99092927298507632781,463,3,49,98.6,1.492
100,70365270903492109618,73,2,21,0.0,0.318
100,55670363654369230101,2053,4,47,98.8,2.340
100,44709032947094143694,11,2,5,0.0,0.195
100,25650589290167058967,547,3,72,98.7,3.257
100,36949634969214985218,131,3,23,99.2,1.473
100,53678763634929650101,3163,4,56,99.1,1.986
100,84569638167876567696,421,3,53,98.5,2.512
100,97070347036329490149,1747,4,50,99.3,2.093
100,94921070327250303012,149,3,22,99.0,1.545
100,45836129238301274901,1427,4,66,98.9,1.961
100,64587634565434745292,541,3,55,99.2,2.007
100,81816303478161634183,2423,4,67,98.9,1.976
100,60381892925672945232,751,3,52,98.7,3.375
100,95258763692149858785,223,3,70,98.2,2.826
100,20587030785078965892,739,3,45,99.0,4.718
100,19216189696109634343,6007,4,84,99.3,5.293
100,26549030943474783450,433,3,54,98.2,5.090
100,27894509458169878583,29,2,10,0.0,0.258
100,64307290343278907234,599,3,56,98.9,1.853
100,61054909258969072165,2579,4,67,98.8,2.000
100,94781432921652905018,353,3,50,98.1,3.730
100,83094903032549614365,1171,4,42,99.2,1.587
100,78789412985296547010,523,3,49,99.1,1.810
100,53872725694501252123,1237,4,46,98.0,1.678
100,90743890703438325210,151,3,50,98.1,5.884
100,11216345290785816925,2633,4,76,98.3,2.009
100,68949474725436565012,211,3,23,99.0,1.339
100,69630185476907212101,421,3,45,98.9,1.623
100,56749276589812703034,2591,4,57,99.1,1.882
100,87612529012527236789,577,3,44,98.9,1.770
100,62141858387478945832,2371,4,58,99.0,4.844
100,97694761034763812909,173,3,28,99.1,3.839
100,24927854327050769274,757,3,46,99.0,1.849
100,85412543412165230325,5227,4,85,99.2,2.027
100,62969698547892341450,487,3,43,98.9,1.397
100,29854561850529290303,173,3,23,98.2,1.638
100,70101610305690907434,823,3,44,97.9,1.657
100,91038763298741278903,367,3,45,97.7,1.635
100,20965874747496121236,43,2,14,0.0,0.200
100,47296303876921210989,149,3,23,98.1,1.471
100,46947072961856189814,827,3,63,98.9,2.539
100,41674529012387290945,701,3,58,99.1,1.670
100,54721898763870965072,263,3,48,98.7,1.351
100,31498307074961492549,337,3,80,98.2,3.883
100,88989894321470127834,127,3,22,98.0,1.221
100,25818503038525858183,719,3,59,98.3,1.451
100,34723852989810361814,23,2,9,0.0,0.168
100,31010965636185892149,677,3,56,98.1,1.435
100,40783412763436965456,307,3,40,98.4,1.432
100,27014569090583410369,211,3,49,99.0,1.579
100,88789250307696583638,1409,4,47,99.1,1.458
100,45238181438187476565,521,3,84,97.5,1.847
100,70587632121038127850,769,3,47,99.0,3.065
100,25016349632363854149,31,2,11,0.0,0.287
100,42145238321098345872,139,3,43,98.2,1.938
100,91092309854545014745,1741,4,50,99.1,1.837
100,20785018547436983252,1063,4,42,99.0,4.164
100,93254749074145234743,173,3,33,97.8,4.141
100,88385256109632303850,191,3,40,98.4,1.471
100,87498901052509892583,107,3,22,98.8,1.375
100,44587090109276367296,877,3,65,98.5,2.143
100,21836701418981858941,1039,4,34,99.2,1.739
100,52301030905850501858,997,3,45,98.8,1.961
100,31416925038523250567,373,3,78,98.2,6.478
100,64743658907634549452,617,3,32,98.9,1.613
100,73278325216189696509,1327,4,38,99.0,1.752
100,46321856365090967896,863,3,48,98.2,1.665
100,17632343858183252781,2273,4,55,99.0,1.951
100,72967030149096387636,37,2,12,0.0,0.320
100,17678341658149432141,761,3,48,99.1,1.658
100,42101678341216563496,1223,4,46,99.0,1.599
100,79010785230549694929,149,3,22,98.2,1.332
100,46303630965234387012,2003,4,52,99.0,1.815
100,31418725430143036921,1759,4,44,98.9,1.580
100,60961634145850307030,47,2,15,0.0,0.307
100,79070145674903256961,199,3,34,99.1,1.776
100,86387094323254183412,19,2,8,0.0,0.263
100,29678105496109412307,419,3,63,98.4,2.357
100,26101650587232921254,233,3,23,98.8,1.338
100,43256761270165014127,883,3,54,99.2,1.784
100,12347690925254363834,487,3,69,98.0,4.519
100,27012105638343010185,8237,4,92,99.4,2.643
100,86705492901698389892,541,3,35,99.0,2.152
100,39616307076969076163,1657,4,47,99.0,1.942
100,14327694707496543072,3221,4,69,98.8,2.203
100,71698127254787610949,5,1,3,0.0,0.215
100,44909272569838569272,47,2,15,0.0,0.276
100,37672183690587454569,31,2,11,0.0,0.244
100,72565432921214905890,179,3,41,98.2,1.942
100,23410721470589052929,277,3,22,99.0,1.264
100,74347274525230361474,383,3,32,98.1,1.661
100,33818927214321414325,1559,4,48,99.2,3.397
100,84589478589054507872,61,2,18,0.0,0.349
100,79870927236325690983,43,2,14,0.0,0.247
100,68363258963298345698,383,3,50,97.7,2.843
100,71436749258787236963,941,3,37,99.0,4.071
100,14901810567672783830,107,3,23,97.8,3.567
100,97436929050127414925,37,2,12,0.0,0.396
100,82721810781054181696,101,3,22,98.3,2.218
100,53476707018541296747,223,3,22,99.0,1.185
100,20981230541290709650,569,3,38,98.9,4.376
100,91090705016787892923,109,3,22,99.3,1.416
100,48323430163892743096,3583,4,61,99.0,1.865
100,73018761672907016705,1087,4,75,98.3,2.298
100,60149612943876101674,1181,4,64,98.0,1.645
100,39850925234561090503,3923,4,59,99.1,2.661
100,42907418967294705614,317,3,22,99.3,1.209
100,97052929636349038363,103,3,22,98.2,1.183
100,12527074969458307052,109,3,22,99.1,1.190
100,11098163854109896507,173,3,23,98.1,1.656
100,68527276543838543090,251,3,29,99.0,2.512
100,35212783638581076161,179,3,23,99.1,1.202
100,26565250127872581618,1453,4,57,98.6,4.742
100,55670747856703414547,193,3,50,97.8,6.985
100,52323618969216743498,7,1,4,0.0,0.208
100,61216389050121450185,157,3,22,99.2,3.618
100,28923494563252743816,541,3,22,99.2,1.124
100,17252505416343054561,89,2,22,99.1,1.090
100,12705238383234143814,251,3,47,98.8,1.693
100,73274509636185052787,1483,4,48,98.8,1.894
100,52767236901452763278,127,3,42,96.9,1.807
100,67098365036747414169,53,2,16,0.0,0.284
